geoid,name,stfips,state
91000,"New England",09000,"Connecticut"
91000,"New England",23000,"Maine"
91000,"New England",25000,"Massachusetts"
91000,"New England",33000,"New Hampshire"
91000,"New England",44000,"Rhode Island"
91000,"New England",50000,"Vermont"
92000,"Mideast",10000,"Delaware"
92000,"Mideast",11000,"District of Columbia"
92000,"Mideast",24000,"Maryland"
92000,"Mideast",34000,"New Jersey"
92000,"Mideast",36000,"New York"
92000,"Mideast",42000,"Pennsylvania"
93000,"Great Lakes",17000,"Illinois"
93000,"Great Lakes",18000,"Indiana"
93000,"Great Lakes",26000,"Michigan"
93000,"Great Lakes",39000,"Ohio"
93000,"Great Lakes",55000,"Wisconsin"
94000,"Plains",19000,"Iowa"
94000,"Plains",20000,"Kansas"
94000,"Plains",27000,"Minnesota"
94000,"Plains",29000,"Missouri"
94000,"Plains",31000,"Nebraska"
94000,"Plains",38000,"North Dakota"
94000,"Plains",46000,"South Dakota"
95000,"Southeast",01000,"Alabama"
95000,"Southeast",05000,"Arkansas"
95000,"Southeast",12000,"Florida"
95000,"Southeast",13000,"Georgia"
95000,"Southeast",21000,"Kentucky"
95000,"Southeast",22000,"Louisiana"
95000,"Southeast",28000,"Mississippi"
95000,"Southeast",37000,"North Carolina"
95000,"Southeast",45000,"South Carolina"
95000,"Southeast",47000,"Tennessee"
95000,"Southeast",51000,"Virginia"
95000,"Southeast",54000,"West Virginia"
96000,"Southwest",04000,"Arizona"
96000,"Southwest",35000,"New Mexico"
96000,"Southwest",40000,"Oklahoma"
96000,"Southwest",48000,"Texas"
97000,"Rocky Mountain",08000,"Colorado"
97000,"Rocky Mountain",16000,"Idaho"
97000,"Rocky Mountain",30000,"Montana"
97000,"Rocky Mountain",49000,"Utah"
97000,"Rocky Mountain",56000,"Wyoming"
98000,"Far West",02000,"Alaska"
98000,"Far West",06000,"California"
98000,"Far West",15000,"Hawaii"
98000,"Far West",32000,"Nevada"
98000,"Far West",41000,"Oregon"
98000,"Far West",53000,"Washington"